,Party,Votes,Votes %,Seats,Seats %
0,Christian Democratic Union,16233642,37.2,191,63.87959866220736
1,Social Democratic Party,12843458,29.4,58,19.39799331103679
2,The Left,3585178,8.2,4,1.3377926421404682
3,Alliance 90/The Greens,3180299,7.3,1,0.33444816053511706
4,Christian Social Union in Bavaria,3544079,8.1,45,15.050167224080269
5,Alternative for Germany,810915,1.9,0,0.0
