,Party,Votes,Votes %,Seats,Seats %
0,New Democracy (ND),1825497,29.66,129,43
1,Coalition of the Radical Left (SYRIZA),1655022,26.89,71,23.6666666666667
2,Democratic Coalition (PASOK-DIMAR),1141010,18.53,50,16.6666666666667
3,Independent Greeks (ANEL),462406,7.51,20,6.66666666666667
4,Popular Association-Golden Dawn (ΧΑ),426025,6.92,18,6
5,Communist Party of Greece (KKE),277227,4.5,12,4
6,The River (Potami),0,0,0,0
7,Union of Centrists (EK),17145,0.28,0,0
