,Party,Votes,Votes %,Seats,Seats %
0,Civic Platform,5629773,39.18,207,45.0980392156863
1,Law and Justice,4295016,29.89,157,34.2047930283224
2,'Palikot''s Movement',1439490,10.02,40,8.71459694989107
3,'Polish People''s Party',1201628,8.36,28,6.10021786492375
4,Democratic Left Alliance,1184303,8.24,27,5.88235294117647
5,Kukiz15,0,0,0,0
6,Modern,0,0,0,0
