,Party,Votes,Votes %,Seats,Seats %
0,Fine Gael,801628,36.1,76,50
1,Labour Party,431796,19.5,37,24.3421052631579
2,Fianna Fáil,387358,17.5,20,13.1578947368421
3,Sinn Féin,220661,9.9,14,9.21052631578947
4,Socialist Party,26770,1.2,2,1.31578947368421
5,People Before Profit,21551,1,2,1.31578947368421
6,Workers and Unemployed Action,8818,0.4,1,0.657894736842105
7,Green Party,41039,1.8,0,0
8,Social Democrats,0,0,0,0
9,Inds. 4 Change,0,0,0,0
