,Party,Votes,Votes %,Seats,Seats %
0,Labour Party (Ap),874769,30.8,55,32.544378698224854
1,Conservative Party (H),760232,26.8,48,28.402366863905325
2,Progress Party (FrP),463560,16.3,29,17.159763313609467
3,Christian Democratic Party (KrF),158475,5.6,10,5.9171597633136095
4,Centre Party (Sp),155357,5.5,10,5.9171597633136095
5,Liberal Party (V),148275,5.2,9,5.325443786982249
6,Socialist Left Party (SV),116021,4.1,7,4.142011834319527
7,Green Party (MDG),79152,2.8,1,0.591715976331361
8,Red Party (R),30751,1.1,0,0.0
