,Party,Votes,Votes %,Seats,Seats %
0,Social Democratic Party,1932711,31.01,113,32.37822349570201
1,Moderate Party,1453517,23.33,84,24.068767908309454
2,Sweden Democrats,801178,12.86,49,14.040114613180515
3,Green Party,429275,6.89,25,7.163323782234957
4,Centre Party,380937,6.11,22,6.303724928366762
5,Left Party,356331,5.72,21,6.017191977077363
6,Liberals,337773,5.42,19,5.444126074498568
7,Christian Democrats,284806,4.57,16,4.584527220630372
