,Party,Votes,Votes %,Seats,Seats %
0,Liberals (Venstre Danmarks Liberale Parti) (V),947725,26.7,47,26.8571428571429
1,Social Democrats (A),879615,24.8,44,25.1428571428571
2,Danish Peoples Party (O),436726,12.3,22,12.5714285714286
3,Danish Social Liberal Party (B),336698,9.5,17,9.71428571428571
4,Socialist Peoples Party (F),326192,9.2,16,9.14285714285714
5,Red–Green Alliance (O),236860,6.7,12,6.85714285714286
6,Liberal Alliance (I),176585,5,9,5.14285714285714
7,Conservative Peoples Party (C),175047,4.9,8,4.57142857142857
8,The Alternative (A),0,0,0,0
