,Party,Votes,Votes %,Seats,Seats %
0,Independence Party,54990,29,21,33.3333333333333
1,Left-Green Movement,30166,15.91,10,15.8730158730159
2,Pirate Party,27449,14.48,10,15.8730158730159
3,Progressive Party,21791,11.49,8,12.6984126984127
4,Reform Party,19870,10.48,7,11.1111111111111
5,Bright Future,13578,7.16,4,6.34920634920635
6,Social Democratic Alliance,10893,5.74,3,4.76190476190476
7,Centre Party,0,0,0,0
8,Peoples Party,6707,3.54,0,0
