,Party,Votes,Votes %,Seats,Seats %
0,Christian Social Peoples Party,1103636,33.68,23,38.3333333333333
1,Socialist Workers Party,664586,20.28,13,21.6666666666667
2,Democratic Party,597879,18.25,13,21.6666666666667
3,The Greens,331920,10.13,6,10
4,Alternative Democratic Reform Party,217683,6.64,3,5
5,The Left,161759,4.94,2,3.33333333333333
6,Pirate Party Luxembourg,96270,2.94,0,0
