,Party,Votes,Votes %,Seats,Seats %
0,Social Democratic Party of Austria,1258605,26.82,52,28.4153005464481
1,Austrian Peoples Party,1125876,23.99,47,25.6830601092896
2,Freedom Party of Austria,962313,20.51,40,21.8579234972678
3,The Greens – The Green Alternative,582657,12.42,24,13.1147540983607
4,Team Stronach,268679,5.73,11,6.01092896174863
5,NEOS – The New Austria,232946,4.96,9,4.91803278688525
6,Peter Pilz List (PILZ),0,0,0,0
