,Party,Votes,Votes %,Seats,Seats %
0,Social Democratic Peoples,2813069,50.37,132,57.3913043478261
1,Socialist,1566347,28.05,74,32.1739130434783
2,Unitary Democratic Coalition,441147,7.9,16,6.95652173913043
3,Left Bloc,288923,5.17,8,3.47826086956522
4,People Animals Nature,57995,1.04,0,0
