,Party,Votes,Votes %,Seats,Seats %
0,Social Liberal Union,4344288,58.63,273,69.2893401015228
1,Right Romania Alliance,1223189,16.51,56,14.2131979695432
2,Peoples Party – Dan Diaconescu,1036730,13.99,47,11.9289340101523
3,Democratic Union of Hungarians in Romania,380656,5.14,18,4.56852791878173
4,Social Democratic Party,0,0,0,0
5,National Liberal Party,0,0,0,0
6,Save Romania Union,0,0,0,0
7,Alliance of Liberals and Democrats,0,0,0,0
8,Peoples Movement Party,0,0,0,0
