,Party,Votes,Votes %,Seats,Seats %
0,Fidesz – Hungarian Civic Union,1082672,21.450230546,87,82.0754716981132
1,'Christian Democratic People''s Party',1082670,21.450230546,9,8.49056603773585
2,Hungarian Socialist Party,439292,8.703416021,8,7.54716981132076
3,Together – Party for a New Era,439295,8.703416021,1,0.943396226415094
4,Democratic Coalition,439294,8.703416021,1,0.943396226415094
5,Jobbik – Movement for a Better Hungary,1020476,20.2180029453003,0,0
6,Politics Can Be Different,269414,5.3377179331069,0,0
