,Party,Votes,Votes %,Seats,Seats %
0,Harmony,209887,23.0,24,24.0
1,New Unity,199535,21.87,23,23.0
2,Union of Greens and Farmers,178210,19.53,21,21.0
3,National Alliance,151567,16.61,17,17.0
4,For Latvia from the Heart,62521,6.85,7,7.000000000000001
5,Latvian Association of Regions,60812,6.66,8,8.0
6,Who owns the state?,0,0.0,0,0.0
7,New Conservative Party,6389,0.7,0,0.0
8,Development/For!,0,0.0,0,0.0
