,Party,Votes,Votes %,Seats,Seats %
0,Estonian Reform Party,164255,28.6,33,32.6732673267327
1,Estonian Centre Party,134124,23.3,26,25.7425742574257
2,Pro Patria and Res Publica Union,118023,20.5,23,22.7722772277228
3,Social Democratic Party,98307,17.1,19,18.8118811881188
4,Free Party,0,0,0,0
5,Conservative Peoples Party,0,0,0,0
