Party,Votes,Votes %,Seats,Seats +–
Social Democrats (A),924940,26.3,47,3
'Danish People''s Party (O)',741746,21.1,37,15
Liberals (Venstre  Danmarks Liberale Parti) (V),685188,19.5,34,–13
Red–Green Alliance (Ø),274463,7.8,14,2
Liberal Alliance (I),265129,7.5,13,4
The Alternative (Å),168788,4.8,9,New
Danish Social Liberal Party (B),161009,4.6,8,–9
'Socialist People''s Party (F)',147578,4.2,7,–9
'Conservative People''s Party (C)',118003,3.4,6,–2
