Party,Votes,Votes %,Seats,Seats +-
Social Democratic Party,1830386,28.26,100,−13
Moderate Party,1284698,19.84,70,−14
Sweden Democrats,1135627,17.53,62,13
Centre Party,557500,8.61,31,9
Left Party,518454,8,28,7
Christian Democrats,409478,6.32,22,6
Liberals,355546,5.49,20,1
Green Party,285899,4.41,16,−9
