Party,Votes,Votes %,Seats,Seats +–
Harmony,167117,19.8,23,-1
Who owns the state?,120264,14.25,16,New
New Conservative Party,114694,13.59,16,16
Development/For!,101685,12.04,13,13
National Alliance,92963,11.01,13,-4
Union of Greens and Farmers,83675,9.91,11,-10
New Unity,56542,6.69,8,-15
For Latvia from the Heart,7114,0.84,0,-7
Latvian Association of Regions,35018,4.14,0,-8
