Party,Votes,Votes %,Seats,Seats +–
Austrian People's Party,1595526,31.5,62,15
Social Democratic Party of Austria,1361746,26.9,52,0
Freedom Party of Austria,1316442,26,51,11
NEOS – The New Austria,268518,5.3,10,1
Peter Pilz List (PILZ),223543,4.4,8,New
The Greens – The Green Alternative,192638,3.8,0,-24
Team Stronach,0,0,0,0
