Party,Votes,Votes %,Seats,Seats +–
GERB,1147292,32.67,95,11
BSP for Bulgaria,955490,27.93,80,41
United Patriots,318513,9.31,27,New
Movement for Rights and Freedoms,315976,9.24,26,-12
Volya,145637,4.26,12,New
Reformist Bloc,107407,3.06,0,-23
Patriotic Front,0,0,0,0
Bulgaria without Censorship,0,0,0,0
Attack,0,0,0,0
Alternative for Bulgarian Revival,0,0,0,0
