Party,Votes,Votes %,Seats,Seats %
Fine Gael,544140,25.5,49,31.6
Fianna Fáil,519356,24.3,44,27.8
Sinn Féin,295319,13.8,23,14.6
Labour Party,140898,6.6,7,4.4
People Before Profit,84168,3.9,6,3.8
Inds. 4 Change,31365,1.5,4,2.5
Social Democrats,64094,3,3,1.9
Green Party,57999,2.7,2,1.3
Socialist Party,0,0,0,0
Inds. 4 Change,0,0,0,0
