Party,Votes,Votes %,Seats,Seats +-
Direction – Social Democracy,737481,28.28,49,-34
Freedom and Solidarity,315558,12.1,21,10
Ordinary People and Independent Personalities,287611,11.03,19,3
Slovak National Party,225386,8.64,15,15
'People''s Party Our Slovakia',209779,8.04,14,14
We Are Family,172860,6.63,11,new
Most–Híd,169593,6.5,11,-2
Network,146205,5.61,10,new
Christian Democratic Movement,128908,4.94,0,-16
Slovak Democratic and Christian Union - Democratic Party,6938,0.27,0,-11
