Party,Votes,Votes %,Votes +-,Seats,Seats +-
Law and Justice,5711687,37.58,7.69,235,78
Civic Platform,3661474,24.09,15.09,138,69
Kukiz'15,1339094,8.81,,42,42
Modern,1155370,7.6,,28,28
Polish People's Party,779875,5.13,3.23,16,12
Palikot's Movement,1147102,7.55,11.26,0,40
Democratic Left Alliance,1147102,7.55,11.26,0,40
