Party,Votes,Votes %,Seats
Fidesz – Hungarian Civic Union,2636201,47.89,91
Jobbik – Movement for a Better Hungary,1276840,23.2,1
Hungarian Socialist Party,622458,11.31,8
Politics Can Be Different,312731,5.68,1
Democratic Coalition,348176,6.33,3
Together – Party for a New Era,58591,1.06,1
'Christian Democratic People''s Party',0,0,0
