Party,Votes,Votes %,Seats,Seats +-
Homeland Union,276275,22.63,31,–2
Lithuanian Farmers and Greens Union,274108,22.45,54,53
Social Democrats,183597,15.04,17,–21
Liberal Movement,115361,9.45,14,4
Anti-Corruption Coalition (LCP–LPP),77114,6.32,1,New
Electoral Action of Poles in Lithuania,69810,5.72,8,0
Order and Justice,67817,5.55,8,–3
Labour Party,59620,4.88,2,–27
The Way of Courage,3498,0.29,0,-7
