Party,Votes,Votes %,Seats,Seats +-
Independence Party,49543,25.2,16,–5
Left-Green Movement,33155,16.9,11,1
Social Democratic Alliance,23652,12.1,7,4
Centre Party,21335,10.9,7,New
Progressive Party,21016,10.7,8,0
Pirate Party,18051,9.2,6,–4
People's Party,13502,6.9,4,4
Reform Party,13122,6.7,4,–3
Bright Future,2394,1.2,0,–4
