"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Azerbaijan","AZE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","612343000","643669000","808257000","677751000","1025231000","1858335000","2078931000","2295484000","2611091000","3586852000","7398064000","12749075000","20899798000","30220553000","20658360000","25741126000","33996343000","31877133000","31781146000","28259658000","15586052000","13210511000","15152059000",
"Burundi","BDI","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","113645826.213411","129139529.638823","98337836.1791411","124356280.49432","93245798.3193275","72750983.5455325","92957742.5991129","76955327.8242556","73861108.8228025","80653045.0700045","112889502.817733","40413326.873954","87472476.5326226","64030789.9032047","54983253.8538316","49052598.9583815","39154897.9149439","31015982.6448049","37528126.2123367","48482605.1412481","60801764.337049","58676450.910458","58836291.4957643","69648172.7600437","68414018.2832445","101236293.907907","123982004.747279","134698608.194335","94050454.7162038","131793726.805257","120838349.384343","109417008.469181","",
"Belgium","BEL","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156558019210.22","172119475024.632","207194514262.16","228048566363.448","246875759374.8","287771083229.52","315429548725.136","241527895863.597","271479399480.596","323727698492.95","300948406981.042","312730803233.077","310877454804.412","253402895276.587","274557861102.927","300761905397.478",
"Benin","BEN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","92985317.7325051","116096604.35926","85858788.7124043","129062359.379914","125562881.330109","132906080.610812","163953393.086272","388037523.850763","135356523.604387","132297279.825646","223820821.736699","297821122.828435","308686623.308397","366344777.221883","190194187.578316","187904202.167233","237493803.31485","373533212.798458","345078690.541192","393479252.084553","397904595.779931","419936213.605216","522869180.501224","424023277.085974","414271319.345114","421445453.671745","392329927.318577","373513393.0336","447831969.583674","540824208.97223","568547674.870948","578113018.083252","735458546.512223","1046759379.59128","1282182361.35033","1224565412.67978","1281533308.33908","1250806028.18049","1442622239.26412","1981875183.7599","2562237332.54699","1681882536.0624","1774275792.89673","",
"Burkina Faso","BFA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","480859372.159159","607161990.951191","654773106.339176","857625039.525423","900168023.346187","1590976293.42535","2398947426.38802","2868262815.08604","2662385738.60754","2755365694.55687","2362328926.73695","2826545180.56965","",
"Bangladesh","BGD","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","399293223.918071","476434798.670093","549261812.820154","655590632.947201","793230497.814336","790466640.274846","768435438.547355","723946923.529866","931742139.013261","999457038.627625","879997897.832679","1076878928.04765","1291023745.75444","1304772234.27332","1672401690.28248","1688658600.65177","2097866552.17654","2544671068.93269","2934413942.29779","3733288293.67246","4008737692.99452","4839709274.92482","5140892902.68629","5457697104.97811","6398441702.82782","6083646028.93574","5989425301.43919","6814326705.70285","7977826434.27744","9732374205.02195","11233798031.1265","12137743126.3536","15298332386.3006","15051721757.0365","19209407428.1808","24537200415.0624","24904204337.9242","28638191700.163","29924488670.0178","31736035719.1971","34047890512.4592","35302066545.7778",
"Bulgaria","BGR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","8091000000","8052000000","7894000000","8829000000","9671000000","10313000000","8862000000","10297000000","9283000000","8268000000","6113000000","3737000000","3956400000","3726500000","3935100000","5345000000","4890200000","3358500000","4193499000","4006367182","4824629175","5105025671.86023","5352471318.93748","7069157198.63983","9921386892.70111","11790949972.7712","15154046460.0447","19533494152.4806","22503649094.5853","16379999293.8753","18741520000","26566780000","25263630000","28171460000","27891560000","24306020000","25553360000","29145030000",
"Bahrain","BHR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","1203034137.04939","1517950623.04551","1848856317.07028","1891840742.69204","2499099233.8515","3433154361.2838","4177127670.68385","3694973414.08238","3119414901.91334","3203989365.25265","2896808510.6383","2199468085.10638","2429521276.59574","2411436170.21277","2831117021.2766","3760638297.87234","3513297872.34043","3465425531.91489","3723404362.59808","3617021613.28659","4114362021.28252","4702128066.00841","4382979131.39433","3270213092.10902","4362766199.17809","6194946808.51064","5575797872.34043","5795212765.95745","6631382978.72341","7558244680.85106","10242021276.5957","12200000000","13633510638.2979","17315691489.3617","11873670212.766","13647074468.0851","19650265957.4468","23076595744.6809","25602393617.0213","23497872340.4255","16540425531.9149","12784574468.0851","15376063829.7872",
"Bahamas, The","BHS","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","227500000.2275","201900000.2019","224400000.2244","260700000.2607","377100000.3771","332100000.3321","316900000.3169","332900000.3329","353800000.151233","370500000","335300000","324800000","310800000","221000000","283500000","229400000","216600000","192200000","198500000","225400000","273300000","295000000","362900000","406800000","464800000","416900000","422066878.45","426530000","477460000","549132570","703540000","801874138.25","955822000","710680000","702435000","833539000","984017000","954914000","833944931.65","520531829.165","444303235.24","",
"Bosnia and Herzegovina","BIH","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","663834835.092671","831757777.890321","1129815179.29108","1134207360.42988","1109709444.74978","1477486792.16791","2086675260.92868","2555319693.15569","3381442075.38503","2486359677.42839","3134155039.11924","2685925194.0021","3392868172.9482","4290191684.03019","3983877454.48586","4510889026.41585","4643390178.90365","4078385150.89772","4353180288.38203","5205249776.52996",
"Belarus","BLR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1970100000","2510000000","4803000000","5790100000","6918700000","6157400000","5645100000","6035300000","6682200000","7250600000","9177300000","13014600000","15194000000","18895800000","23309600000","31627400000","20595400000","24506100000","40927600000","45574300000","36540100000","35423300000","26164300000","23099800000","28651900000",
"Belize","BLZ","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","93200000","90150000","92600000","102850000","119400000","124400000","129200000","126100000","140600000","132000000","156464000","164552000","171270000","193400000","186160000","241914011.67","261923857.555","253941945.025","294908237.1725","300201564.5525","289916809.07","308048780.4425","408927959.72565","416264480.00267","479973484.78738","383955784.512725","475729501.242996","603581171.1075","627854152.697","608074014.06065","588687029.122125","537911604.854104","442799709.745958","457509273.032534",
"Bermuda","BMU","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25450000","25315598.6956322","23523951.86375","28668980.4097436","14684082.319868","12630185.4997087","11139986.9269742","12686934.282265","21145965.4086329","21438542.45","17990056.8293612","",
"Bolivia","BOL","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","563000000","634300000","627300000","759800000","942200000","912400000","827700000","755100000","724500000","623400000","545500000","518700000","542500000","723500000","830800000","760300000","608400000","715500000","985100000","1041400000","1131990000","1090000000","1032000000","1005500000","1139092096.03","1188657425.88972","1184341415.90552","1492659721.64642","2044256550.86625","2622226566.01205","3661955400.5637","4262826733.64491","6271446254.13459","4709830000","6129300487.3046","8174835184.8045","11132827855.4158","11538700931.3342","12809705325.3417","8684018275.65134","6999677572.39064","7746048881.34094",
"Brazil","BRA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","8492000000","9961000000","11923000000","12473000000","15244000000","20132000000","23276000000","20173000000","21898000000","27002000000","25634000000","22348000000","26210000000","33773000000","34375000000","31408000000","31619000000","35793000000","39624000000","44102000000","46506000000","47746000000","52991000000","51121000000","48263000000","55280007537","58200091000","60349854000","72992574087","96240639253","118029342113","137808173531","160649072830","197942442909","152994742300","201259649431.1","255444139417.42","242123488246.16","241577285174.1","224097756735.215","190092053815.64","184452904799.24","217242674774.69",
"Barbados","BRB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","40399999.9798","41268410.6386884","44189274.1348623","53439619.481012","85718561.4512237","108872968.754496","87950000","104450000","131650000","156000000","228850000","193000000","258200000","321950000","393500000","356850000","283400000","167050000","179550000","187400000","219000000","206500000","189850000","187550000","180200000","239850000","281250000","283950000","263750000","265000000","274200000","261750000","243477000","251746000","278446670.5","361480290","510075016","525464919","489419743.455","380205856.5","430637314.23","861933267.07","851035416.385","885412973.845","","","","",
"Brunei Darussalam","BRN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3643592052.84994","3708861472.36847","4423954152.72133","5068835389.31106","6240958254.77904","7626932017.95548","7691599164.02487","10697696963.4099","7171881680.89865","8799576438.04708","12376247123.2068","12881822979.7218","11835474928.6243","11111405941.3128","6125471665.4663","5119743806.02817","",
"Bhutan","BTN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312020438.063882","576549816.233211","598869932.397677","517952252.775073","521649960.61734","663687111.884612","626875426.318164","544473557.696005","534675223.350861","581541423.500904","496545208.82235","554623776.920883",
"Botswana","BWA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","141986351.092303","169740042.630212","191576873.070614","223387594.650999","442204972.281051","544501271.246423","401320206.119381","460637119.553637","640334997.307122","677694140.577726","727648615.124433","852462535.103743","1586595517.31275","1468948026.82398","1819656448.69044","1795356808.03957","1871132312.22803","1743923971.13368","1722150573.13538","1874325679.12598","2160192482.04198","2217532155.6386","2819829460.32291","2060630921.8435","2658167681.49306","2675137157.98986","2314427773.10441","2345623346.91773","3024072012.97066","3691883327.93357","4438394633.13477","4525598656.42099","5162553531.71708","4798260395.58169","3335519218.78834","4633208337.13177","6440722391.04376","6487200400.38061","7925260602.93507","8516802382.57163","6288157249.0736","7362549592.2094","5934380838.4902",
"Central African Republic","CAF","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","104501924.268951","110287408.331419","122239559.073392","147198340.790504","117693405.381833","124404206.141041","123398559.710425","114432400.086691","131047971.648162","129486675.045792","128896130.608731","133662038.194502","148093325.7092","150537277.728568","125622588.080665","115855496.517237","132453942.417902","145892137.861584","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","5792922932.21823","6185969826.17332","6356027430.07131","6928852876.37605","8115026615.21691","8578337658.19076","10031479023.724","10936106816.8843","13131134299.6701","14372416487.2199","16731108674.4653","18175235286.7344","21176698155.0322","26500081126.7044","34276799215.8259","33780157427.8597","39696055902.2196","42883206158.9973","47942175094.1811","57299845458.2977","67531917069.5741","71859057055.3189","70174739336.5343","75305695210.3176","89158081407.7099","89803298039.0529","89949584991.7516","98986481311.946","116464572376.909","123868936142.293","130075063012.924","128584152553.486","134790749373.153","146959097503.331","166574671795.684","192931526020.329","204876188365.006","218458800506.568","219954439960.476","247710289583.948","288102262510.088","270799122133.283","262688976906.661","283873810835.998","328648234014.515","370464653389.897","398503998951.723","430471915352.866","460255621183.073","322670010420.343","392338063507.594","461316812274.643","461875997886.8","465357084823.636","478688082872.564","410766274243.626","393568826015.908","423477326927.709",
"Central Europe and the Baltics","CEB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60582596686.4692","68125122958.4554","91239761517.8324","95804047855.9987","101718384615.872","112105711835.83","108587886645.048","124429457122.104","139259253262.033","153666979412.573","198599390016.4","284763290892.442","331394822909.008","405098597573.258","515923398313.582","616626702271.789","479081701541.048","556816597553.653","675078948047.936","652582100941.028","697954171176.407","731593864542.26","644705912527.892","660520315584.926","743347745341.478",
"Switzerland","CHE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","20991711867.3149","28836529348.7007","33827284322.4462","41707595440.7896","40103605169.8981","36072914085.7517","34166822168.4194","36896461233.1229","37303352495.2943","48799925885.8387","55603851505.7866","63164081186.3596","66397237037.1502","78756537231.7772","74952109205.6554","80427837782.4214","75920908670.494","83272884804.1501","98016170964.2884","96394123024.8946","96016330046.079","94503684862.3679","92694323021.1075","94752175371.9894","96377626806.5927","101574407616.403","116874575011.422","142362847967.472","152774929868.74","171187837802.245","205860724272.599","251236338747.859","216809453014.189","277166481289.341","345690866021.45","332682538530.574","373417648349.829","329261754526.403","303245276271.765","315840000940.562","313542755649.392",
"Channel Islands","CHI","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","1590000000","2116000000","2186000000","2460000000","3835000000","4705000000","3836000000","3706000000","3831000000","3650000000","3804100000","4191200000","5303000000","7054100000","8078400000","8372700000","8941500000","10007400000","9198700000","11604100000","16025000000","16626465803.55","17869877663.39","16322526210.32","17161948433.72","19209887166.01","18271390806.64","18178137790.176","21650906897.8466","33025407003.93","41973992484.9","59380159233.432","68561364483.7296","64510142785.1327","55462671481.2967","71108528875.7787","81437843854.5763","78062990216.8251","76769937148.3466","75064697829.6074","62035090309.76","60733437127.0399","69229867713.1767",
