"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155.984880302394","171.319796954315","175.344129554656","168.781911013858","163.267359946327","164.591203738233","145.072879516204","139.021956378172","134.33499493461","133.960084352967","133.653243477694","146.481006590773","143.464899733299","142.363306909232","141.187287523436","140.062909532337","136.31879090553","157.208415564428","","","","","","",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","11.157026581176","12.5506095641626","14.2276444262674","26.0355114281704","26.9444479475307","32.6710826152849","27.1428573129252","20.9827354616946","24.110033071763","25.0788642331499","21.7281100678648","27.0631374536424","32.8690810352185","27.6923087928995","28.8659801551706","26.9483576711852","28.0869566604915","26.4860798295929","24.7138040330125","","","","","","","","","","","","","","","","","","","","","","","","97.6744227499797","137.901039454029","121.13581870045","104.862400564151","100.555349411331","76.1737610946716","73.0655202440326","56.9068174248469","54.9673280956043","50.3012220744035","44.659247762082","56.065669936469","52.341577191694","55.8037319475389","55.9212268518882","",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","88.4945849682428","94.519684738292","82.6892356570661","76.2264909720351","65.5271745983787","59.5300729914595","57.1428571428571","97.3684210526316","100","","","","","","","152.547109454858","150.335794690093","124.959914491307","130.453669736458","124.395150235728","139.657432418488","118.774517825783","117.473807794816","127.544973911909","110.316370505615","105.267209721564","107.515675508187","103.323437101935","95.0686162654686","90.2619691728445","70.3268342815811","59.4342048400934","57.5864443973003",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","45.8250749506054","44.497605577662","43.2525386847195","39.00562196255","36.7904298195613","34.685406148026","30.5250142005462","31.0288080231291","35.600305738476","38.6585297289146","38.0657831094828","34.8163862743792","100.002686541879","77.7150689060593","50.3020121386065","46.9874219923069","43.2202029460839","43.9356497213416","45.4813408285662","48.0297479959828","55.9204287230026","57.4303612453301","63.9342407411882","65.4406219482911","66.3578254370479","70.2953012017195","73.4550491659384","82.8724226308549","77.4517110851705","75.0949053413577","76.5434715491159","81.2185485414313","76.5101734744528","75.8737824556845","75.4078339395339","71.8010161004583","74.6692622001273","78.075613190872",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","59.1729868769108","59.4509013565247","62.3593465566842","81.2108907280433","74.7067689483783","82.8591205198454","77.6047248453577","80.6621365016905","78.4769541224684","81.316668026071","84.7993227631216","87.4451483076177","82.6387652954817","75.0405780063345","71.732956112736","64.8090700973969","57.2113357801253","58.9161516505299","60.628081377046","65.9003616940641","65.4287678753386","68.7319614489478","63.8998014321688","60.3626428248508","58.634376517513","61.8289605487894","61.8621625743715","68.4181312975854","66.4211518502438","66.4381610836802","70.8099208870829","72.3512833567996","73.716284530767","79.9022341135016","84.9940795287126","89.074995966957","89.6472928860567","93.4332616441494","97.8024244144685","89.6914708247504","88.3733297730754","91.9517217664934","93.5580166829968","93.4464949947111","92.2167048797167","87.3319912414441","81.9589873935455","82.5380948809197",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622673310185","119.55312400123","119.470702677257","136.798152865771","148.513544025723","153.461944358373","141.309041911441","151.798270101202","165.143012494148","165.541192319236","168.050233667743","175.221307567909","176.747648042171","172.810526922642",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.492660372918","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846246649","16.9422865680472","14.3237963724531","12.8406846410014","11.5456724604615","14.2929774789475","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588892","14.730980586353","16.2231515323488","18.1342254505904","19.771500987766","21.506358172293","23.336144697619","23.349944346555","21.3826567862219","22.6225023420697","21.8524228521558","41.7527512956683","40.6446897458032","40.692646108947","40.5512709706238","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4067936452275","22.4862260889792","26.1219138061676","25.0145788711687",
"Armenia","ARM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3357185450209","100.865855188857","101.076759405526","107.973146280234","112.428831044431","86.1148549605111","79.2295615718099","78.5477445199017","71.8424531375795","70.5604195051967","73.9185677483324","71.6171966314838","75.9434195954309","82.1876465514541","75.0372101843166","72.0389254730378","62.6091930629355","58.3364583828817","55.7028621156341","58.4788698681044","66.1472866893029","71.1108651220388","75.9667433930304","76.5561957927212","75.6116848388122","71.5932653468932","75.9178800280663","88.4534840488739",
"American Samoa","ASM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209.533073929961","205.692599620493","200.5859375","221.073558648111","227.620967741935","216.538461538462","247.779751332149","160.176991150442","156.423611111111","155.749128919861","174.689440993789","171.294851794072","171.695178849145","164.491654021244","158.510638297872","",
