,Party,Votes,Votes %,Seats,Seats %
0,Liberals (Venstre  Danmarks Liberale Parti) (V),947725,26.7,47,26.857142857142858
1,Social Democrats (A),879615,24.8,44,25.142857142857146
2,'Danish People''s Party (O)',436726,12.3,22,12.571428571428573
3,Danish Social Liberal Party (B),336698,9.5,17,9.714285714285714
4,'Socialist People''s Party (F)',326192,9.2,16,9.142857142857142
5,Red–Green Alliance (Ø),236860,6.7,12,6.857142857142858
6,Liberal Alliance (I),176585,5.0,9,5.142857142857142
7,'Conservative People''s Party (C)',175047,4.9,8,4.571428571428571
8,The Alternative (Å),0,0.0,0,0.0
