,Party,Votes,Votes %,Seats,Seats %
0,Social Democratic/People’s,2159181,38.66,108,46.95652173913044
1,Socialist,1566347,28.05,74,32.17391304347826
2,Social Democratic/People’s,653888,11.71,24,10.434782608695652
3,Unitary Democratic Coalition,441147,7.9,16,6.956521739130435
4,Left Bloc,288923,5.17,8,3.4782608695652173
5,People-Animals-Nature,57995,1.04,0,0.0
