,Party,Votes,Votes %,Seats,Seats %
0,Democratic Rally (DISY),138682,34.28,20,35.714285714285715
1,Progressive Party of Working People (AKEL),132171,32.67,19,33.92857142857143
2,Democratic Party (DIKO),63763,15.76,9,16.071428571428573
3,Movement for Social Democracy (EDEK),36113,8.93,5,8.928571428571429
4,European Party (EVROKO),15711,3.88,2,3.571428571428571
5,'Movement of Ecologists - Citizens'' Cooperation (KOSP)',8960,2.21,1,1.7857142857142856
6,Solidarity Movement (KA),0,0.0,0,0.0
7,National Popular Front (ELAM),4354,1.08,0,0.0
8,'Citizens'' Alliance (SYPOL)',0,0.0,0,0.0
