,Party,Votes,Votes %,Seats,Seats %
0,Independence Party,54990,29.0,21,33.33333333333333
1,Left-Green Movement,30166,15.91,10,15.873015873015872
2,Pirate Party,27449,14.48,10,15.873015873015872
3,Progressive Party,21791,11.49,8,12.698412698412698
4,Reform Party,19870,10.48,7,11.11111111111111
5,Bright Future,13578,7.16,4,6.349206349206349
6,Social Democratic Alliance,10893,5.74,3,4.761904761904762
7,Centre Party,0,0.0,0,0.0
8,People's Party,6707,3.54,0,0.0
