,Party,Votes,Votes %,Seats,Seats %
0,Fine Gael,801628,36.1,76,50.0
1,Labour Party,431796,19.5,37,24.342105263157894
2,Fianna Fáil,387358,17.5,20,13.157894736842104
3,Sinn Féin,220661,9.9,14,9.210526315789473
4,Socialist Party,26770,1.2,2,1.3157894736842104
5,People Before Profit,21551,1.0,2,1.3157894736842104
6,Workers and Unemployed Action,8818,0.4,1,0.6578947368421052
7,Inds. 4 Change,0,0.0,0,0.0
8,Social Democrats,0,0.0,0,0.0
9,Green Party,41039,1.8,0,0.0
