,Party,Votes,Votes %,Seats,Seats %
0,Estonian Reform Party,164255,28.6,33,32.67326732673268
1,Estonian Centre Party,134124,23.3,26,25.742574257425744
2,Pro Patria and Res Publica Union,118023,20.5,23,22.772277227722775
3,Social Democratic Party,98307,17.1,19,18.81188118811881
4,Free Party,0,0.0,0,0.0
5,Conservative People's Party,0,0.0,0,0.0
