,Party,Votes,Votes %,Seats,Seats %
0,Fidesz – Hungarian Civic Union,2165342,42.9004610922575,87,82.0754716981132
1,'Christian Democratic People''s Party',2165342,42.9004610922575,9,8.49056603773585
2,Hungarian Socialist Party,1317879,26.110248064187196,8,7.547169811320755
3,Together – Party for a New Era,1317879,26.110248064187196,1,0.9433962264150944
4,Democratic Coalition,1317879,26.110248064187196,1,0.9433962264150944
5,Jobbik – Movement for a Better Hungary,1020476,20.2180029453003,0,0.0
6,Politics Can Be Different,269414,5.337717933106902,0,0.0
