,Party,Votes,Votes %,Seats,Seats %
0,Modern Centre Party,301563,34.49,36,40.909090909090914
1,Slovenian Democratic Party,181052,20.71,21,23.863636363636363
2,Democratic Party of Pensioners of Slovenia,88968,10.18,10,11.363636363636363
3,Social Democrats,52249,5.98,6,6.8181818181818175
4,The Left,52189,5.97,6,6.8181818181818175
5,New Slovenia - Christian Democrats,48846,5.59,5,5.681818181818182
6,Party of Alenka Bratušek,38293,4.38,4,4.545454545454546
7,List of Marjan Šarec,0,0.0,0,0.0
8,Slovenian National Party,19218,2.2,0,0.0
