,Party,Votes,Votes %,Seats,Seats %
0,Christian Social People's Party,1103636,33.68,23,38.333333333333336
1,Socialist Workers' Party,664586,20.28,13,21.666666666666668
2,Democratic Party,597879,18.25,13,21.666666666666668
3,The Greens,331920,10.13,6,10.0
4,Alternative Democratic Reform Party,217683,6.64,3,5.0
5,The Left,161759,4.94,2,3.3333333333333335
6,Pirate Party Luxembourg,96270,2.94,0,0.0
