,Party,Votes,Votes %,Seats,Seats %
0,New Democracy (ND),1825497,29.66,129,43.0
1,Coalition of the Radical Left (SYRIZA),1655022,26.89,71,23.666666666666668
2,Democratic Coalition (PASOK-DIMAR),756024,12.28,33,11.0
3,Independent Greeks (ANEL),462406,7.51,20,6.666666666666667
4,Popular Association-Golden Dawn (ΧΑ),426025,6.92,18,6.0
5,Democratic Coalition (PASOK-DIMAR),384986,6.25,17,5.666666666666666
6,Communist Party of Greece (KKE),277227,4.5,12,4.0
7,The River (Potami),0,0.0,0,0.0
8,Union of Centrists (EK),17145,0.28,0,0.0
