,Party,Votes,Votes %,Seats,Seats %
0,HDZ Coalition,746626,33.36,56,40.28776978417266
1,'People''s Coalition',742909,33.2,56,40.28776978417266
2,Bridge of Independent Lists,302453,13.51,19,13.66906474820144
3,Even Stronger Istria Coalition,42193,1.83,3,2.158273381294964
4,For Prime Minister Coalition,74301,3.32,2,1.4388489208633095
5,Croatian Democratic Alliance of Slavonia and Baranja (Hrvatski demokratski savez Slavonije i Baranje),30443,1.36,2,1.4388489208633095
6,The Only Option Coalition,94877,4.24,1,0.7194244604316548
