,Party,Votes,Votes %,Seats,Seats %
0,GERB,1072491,32.67,84,35.0
1,BSP for Bulgaria,505527,15.4,39,16.25
2,Movement for Rights and Freedoms,487134,14.84,38,15.833333333333332
3,Reformist Bloc,291806,8.89,23,9.583333333333334
4,Patriotic Front,239101,7.28,19,7.916666666666666
5,Bulgaria without Censorship,186938,5.69,15,6.25
6,Attack,148262,4.52,11,4.583333333333333
7,Alternative for Bulgarian Revival,136223,4.15,11,4.583333333333333
8,United Patriots,0,0.0,0,0.0
9,Volya,0,0.0,0,0.0
