,Party,Votes,Votes %,Seats,Seats %
0,Social Democratic Party of Austria,1258605,26.82,52,28.415300546448087
1,Austrian People's Party,1125876,23.99,47,25.683060109289617
2,Freedom Party of Austria,962313,20.51,40,21.85792349726776
3,The Greens – The Green Alternative,582657,12.42,24,13.114754098360656
4,Team Stronach,268679,5.73,11,6.0109289617486334
5,NEOS – The New Austria,232946,4.96,9,4.918032786885246
6,Peter Pilz List (PILZ),0,0.0,0,0.0
