,Party,Votes,Votes %,Seats,Seats %
0,National Coalition Party,599138,20.4,44,22.0
1,Social Democratic Party,561558,19.1,42,21.0
2,Finns Party,560075,19.1,39,19.5
3,Centre Party,463266,15.8,35,17.5
4,Left Alliance,239039,8.1,14,7.000000000000001
5,Green League,213172,7.3,10,5.0
6,'Swedish People''s Party of Finland',125785,4.3,9,4.5
7,Christian Democrats,118453,4.0,6,3.0
8,Åland Coalition,8546,0.3,1,0.5
