Series Name,Series Code,Country Name,Country Code,2000,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Control of Corruption: Estimate,CC.EST,Bulgaria,BGR,-0.1333264,-0.2546794,-0.2125671,-0.1851036,-0.2203161,-0.2278577,-0.2672882,-0.2468749,-0.264637,-0.1684677,-0.1607917
Control of Corruption: Estimate,CC.EST,Burkina Faso,BFA,-0.0711843,-0.3048229,-0.3353375,-0.3506111,-0.3678603,-0.4788863,-0.5230929,-0.4648376,-0.2836152,-0.1544524,-0.1102404
Control of Corruption: Estimate,CC.EST,Burundi,BDI,-0.8042153,-1.090768,-1.129477,-1.165457,-1.187131,-1.452943,-1.409685,-1.258653,-1.242423,-1.231834,-1.283351
Control of Corruption: Estimate,CC.EST,Cabo Verde,CPV,0.6312845,0.8676611,0.8674349,0.8561447,0.9037503,0.868031,0.8367285,0.9380258,0.9495435,0.8704448,0.8402322
Control of Corruption: Estimate,CC.EST,Cambodia,KHM,-0.9583682,-1.231375,-1.174739,-1.243029,-1.238743,-1.070102,-1.052428,-1.137764,-1.117968,-1.272919,-1.290856
Control of Corruption: Estimate,CC.EST,Cameroon,CMR,-1.192397,-1.022167,-1.003626,-1.061047,-1.145449,-1.261325,-1.205251,-1.164004,-1.074333,-1.153864,-1.184609
Control of Corruption: Estimate,CC.EST,Canada,CAN,2.115544,2.002689,2.061789,2.069799,1.977883,1.927136,1.886833,1.836426,1.886559,1.989832,1.924201
Control of Corruption: Estimate,CC.EST,Cayman Islands,CYM,1.359712,0.8069623,1.116361,1.127209,1.351358,1.354136,1.359179,1.018918,1.019112,0.5289542,0.5270393
Control of Corruption: Estimate,CC.EST,Central African Republic,CAF,-1.176626,-1.115491,-0.9766904,-0.9296519,-0.9467087,-0.9927816,-1.090757,-1.160163,-1.308037,-1.280003,-1.172709
Control of Corruption: Estimate,CC.EST,Chad,TCD,-1.106478,-1.522943,-1.402205,-1.381054,-1.328819,-1.313718,-1.351272,-1.31569,-1.363943,-1.487876,-1.431806
Control of Corruption: Estimate,CC.EST,Chile,CHL,1.586007,1.376727,1.380127,1.497289,1.528443,1.582224,1.541565,1.488503,1.279956,1.140002,1.039394
