,Party,Votes,Votes %,Seats,Seats %
0,Independence Party,49543,25.2,16,25.3968253968254
1,Left-Green Movement,33155,16.9,11,17.4603174603175
2,Social Democratic Alliance,23652,12.1,7,11.1111111111111
3,Centre Party,21335,10.9,7,11.1111111111111
4,Progressive Party,21016,10.7,8,12.6984126984127
5,Pirate Party,18051,9.2,6,9.52380952380952
6,Peoples Party,13502,6.9,4,6.34920634920635
7,Reform Party,13122,6.7,4,6.34920634920635
8,Bright Future,2394,1.2,0,0
