,Party,Votes,Votes %,Seats,Seats %
0,Fine Gael,544140,25.5,49,35.5072463768116
1,Fianna Fáil,519356,24.3,44,31.8840579710145
2,Sinn Féin,295319,13.8,23,16.6666666666667
3,Labour Party,140898,6.6,7,5.07246376811594
4,People Before Profit,84168,3.9,6,4.34782608695652
5,Inds. 4 Change,31365,1.5,4,2.89855072463768
6,Social Democrats,64094,3,3,2.17391304347826
7,Green Party,57999,2.7,2,1.44927536231884
8,Socialist Party,0,0,0,0
9,Workers and Unemployed Action,0,0,0,0
