,Party,Votes,Votes %,Seats,Seats %
0,GERB,1147292,32.67,95,39.58333333333333
1,BSP for Bulgaria,955490,27.93,80,33.33333333333333
2,United Patriots,318513,9.31,27,11.25
3,Movement for Rights and Freedoms,315976,9.24,26,10.833333333333334
4,Volya,145637,4.26,12,5.0
5,Reformist Bloc,107407,3.06,0,0.0
6,Patriotic Front,0,0.0,0,0.0
7,Bulgaria without Censorship,0,0.0,0,0.0
8,Attack,0,0.0,0,0.0
9,Alternative for Bulgarian Revival,0,0.0,0,0.0
