,Party,Votes,Votes %,Seats,Seats %
0,Christian Social Peoples Party,999381,28.31,21,35
1,Socialist Workers Party,621332,17.6,10,16.6666666666667
2,Democratic Party,597080,16.91,12,20
3,The Greens,533893,15.12,9,15
4,Alternative Democratic Reform Party,292388,8.28,4,6.66666666666667
5,Pirate Party Luxembourg,227549,6.45,2,3.33333333333333
6,The Left,193594,5.48,2,3.33333333333333
