,Party,Votes,Votes %,Seats,Seats %
0,Social Democratic Peoples,1993504,36.86,102,31.1926605504587
1,Socialist,1747730,32.32,86,26.2996941896024
2,Left Bloc,550945,10.19,19,5.81039755351682
3,Unitary Democratic Coalition,445901,8.25,17,5.19877675840979
4,People Animals Nature,75170,1.39,1,0.305810397553517
