,Party,Votes,Votes %,Seats,Seats %
0,Coalition of the Radical Left (SYRIZA),1926526,35.46,145,48.333333333333336
1,New Democracy (ND),1526205,28.09,75,25.0
2,Popular Association-Golden Dawn (ΧΑ),379722,6.99,18,6.0
3,Democratic Coalition (PASOK-DIMAR),341732,6.29,17,5.666666666666666
4,Communist Party of Greece (KKE),301684,5.55,15,5.0
5,The River (Potami),222349,4.09,11,3.6666666666666665
6,Independent Greeks (ANEL),200532,3.69,10,3.3333333333333335
7,Union of Centrists (EK),186644,3.44,9,3.0
