,Party,Votes,Votes %,Seats,Seats %
0,HDZ Coalition,682687,36.27,59,42.4460431654676
1,'People''s Coalition',636602,33.82,54,38.8489208633093
2,Bridge of Independent Lists,186626,9.91,13,9.35251798561151
3,The Only Option Coalition,117208,6.23,8,5.75539568345324
4,For Prime Minister Coalition,76054,4.04,2,1.43884892086331
5,Even Stronger Istria Coalition,43180,2.29,3,2.15827338129496
6,Croatian Democratic Alliance of Slavonia and Baranja,0,0,0,0
