,Party,Votes,Votes %,Seats,Seats %
0,Centre Party,626218,21.1,49,24.5
1,Finns Party,524054,17.65,38,19
2,National Coalition Party,540212,18.2,37,18.5
3,Social Democratic Party,490102,16.51,34,17
4,Green League,253102,8.53,15,7.5
5,Left Alliance,211702,7.13,12,6
6,'Swedish People''s Party of Finland',144802,4.88,9,4.5
7,Christian Democrats,105134,3.54,5,2.5
8,Aland Coalition,10910,0.37,1,0.5
