,Party,Votes,Votes %,Seats,Seats %
0,Law and Justice,5711687,37.58,235,51.19825708061
1,Civic Platform,3661474,24.09,138,30.0653594771242
2,Kukiz15,1339094,8.81,42,9.15032679738562
3,Modern,1155370,7.6,28,6.10021786492375
4,'Polish People''s Party',779875,5.13,16,3.48583877995643
5,'Palikot''s Movement',573552,3.775,0,0
6,Democratic Left Alliance,573550,3.775,0,0
