,Party,Votes,Votes %,Seats,Seats %
0,Democratic Rally (DISY),107825,30.69,18,32.1428571428571
1,Progressive Party of Working People (AKEL),90204,25.67,16,28.5714285714286
2,Democratic Party (DIKO),50923,14.49,9,16.0714285714286
3,Movement for Social Democracy (EDEK),21732,6.18,3,5.35714285714286
4,Citizens Alliance (SYPOL),21114,6.01,3,5.35714285714286
5,Solidarity Movement (KA),18424,5.24,3,5.35714285714286
6,Movement of Ecologists – Citizens Cooperation (KOSP),16909,4.81,2,3.57142857142857
7,National Popular Front (ELAM),13041,3.71,2,3.57142857142857
8,European Party (EVROKO),0,0,0,0
