,Party,Votes,Votes %,Seats,Seats %
0,ANO 2011,1500113,29.64,78,39
1,Civic Democratic Party,572962,11.32,25,12.5
2,Czech Pirate Party,546393,10.79,22,11
3,Freedom and Direct Democracy,538574,10.64,22,11
4,Communist Party of Bohemia and Moravia,393100,7.76,15,7.5
5,Czech Social Democratic Party,368347,7.27,15,7.5
6,Christian and Democratic Union – Czechoslovak Peoples Party,293643,5.8,10,5
7,TOP 09,268811,5.31,7,3.5
8,Mayors and Independents,262157,5.18,6,3
9,Dawn of Direct Democracy,0,0,0,0
