,Party,Votes,Votes %,Seats,Seats %
0,Social Democratic Party,1830386,28.26,100,28.653295128939828
1,Moderate Party,1284698,19.84,70,20.057306590257877
2,Sweden Democrats,1135627,17.53,62,17.765042979942695
3,Centre Party,557500,8.61,31,8.882521489971348
4,Left Party,518454,8.0,28,8.022922636103152
5,Christian Democrats,409478,6.32,22,6.303724928366762
6,Liberals,355546,5.49,20,5.730659025787966
7,Green Party,285899,4.41,16,4.584527220630372
