,Party,Votes,Votes %,Seats,Seats %
0,Homeland Union,276275,22.63,31,22.962962962962962
1,Lithuanian Farmers and Greens Union,274108,22.45,54,40.0
2,Social Democrats,183597,15.04,17,12.592592592592592
3,Liberal Movement,115361,9.45,14,10.37037037037037
4,Anti-Corruption Coalition (LCP–LPP),77114,6.32,1,0.7407407407407408
5,Electoral Action of Poles in Lithuania,69810,5.72,8,5.9259259259259265
6,Order and Justice,67817,5.55,8,5.9259259259259265
7,Labour Party,59620,4.88,2,1.4814814814814816
8,The Way of Courage,3498,0.29,0,0.0
