,Party,Votes,Votes %,Seats,Seats %
0,Austrian Peoples Party,1595526,31.5,62,33.879781420765
1,Social Democratic Party of Austria,1361746,26.9,52,28.4153005464481
2,Freedom Party of Austria,1316442,26,51,27.8688524590164
3,NEOS – The New Austria,268518,5.3,10,5.46448087431694
4,Peter Pilz List (PILZ),223543,4.4,8,4.37158469945355
5,The Greens – The Green Alternative,192638,3.8,0,0
6,Team Stronach,0,0,0,0
