,Party,Votes,Votes %,Seats,Seats %
0,Harmony,167117,19.8,23,23.0
1,Who owns the state?,120264,14.25,16,16.0
2,New Conservative Party,114694,13.59,16,16.0
3,Development/For!,101685,12.04,13,13.0
4,National Alliance,92963,11.01,13,13.0
5,Union of Greens and Farmers,83675,9.91,11,11.0
6,New Unity,56542,6.69,8,8.0
7,For Latvia from the Heart,7114,0.84,0,0.0
8,Latvian Association of Regions,35018,4.14,0,0.0
