,Party,Votes,Votes %,Seats,Seats %
0,Labour Party (Ap),800949,27.4,49,28.994082840236686
1,Conservative Party (H),732897,25.0,45,26.627218934911244
2,Progress Party (FrP),444683,15.2,27,15.976331360946746
3,Centre Party (Sp),302017,10.3,19,11.242603550295858
4,Socialist Left Party (SV),176222,6.0,11,6.508875739644971
5,Liberal Party (V),127911,4.4,8,4.733727810650888
6,Christian Democratic Party (KrF),122797,4.2,8,4.733727810650888
7,Green Party (MDG),94788,3.2,1,0.591715976331361
8,Red Party (R),70522,2.4,1,0.591715976331361
