,Party,Votes,Votes %,Seats,Seats %
0,Social Democrats (A),924940,26.3,47,26.8571428571429
1,Danish Peoples Party (O),741746,21.1,37,21.1428571428571
2,Liberals (Venstre Danmarks Liberale Parti) (V),685188,19.5,34,19.4285714285714
3,Red–Green Alliance (O),274463,7.8,14,8
4,Liberal Alliance (I),265129,7.5,13,7.42857142857143
5,The Alternative (A),168788,4.8,9,5.14285714285714
6,Danish Social Liberal Party (B),161009,4.6,8,4.57142857142857
7,Socialist Peoples Party (F),147578,4.2,7,4
8,Conservative Peoples Party (C),118003,3.4,6,3.42857142857143
