,Party,Votes,Votes %,Seats,Seats %
0,Social Democratic Party,3204864,45.48,154,49.3589743589744
1,National Liberal Party,1412377,20.04,69,22.1153846153846
2,Save Romania Union,625154,8.87,30,9.61538461538462
3,Democratic Union of Hungarians in Romania,435969,6.19,21,6.73076923076923
4,Alliance of Liberals and Democrats,396386,5.62,20,6.41025641025641
5,Peoples Movement Party,376891,5.35,18,5.76923076923077
6,Social Liberal Union,0,0,0,0
7,Right Romania Alliance,0,0,0,0
8,Peoples Party – Dan Diaconescu,0,0,0,0
