,Party,Votes,Votes %,Seats,Seats %
0,Slovenian Democratic Party,222042,24.92,25,28.40909090909091
1,List of Marjan Šarec,112250,12.6,13,14.772727272727273
2,Social Democrats,88524,9.93,10,11.363636363636363
3,Modern Centre Party,86868,9.75,10,11.363636363636363
4,The Left,83108,9.33,9,10.227272727272728
5,New Slovenia - Christian Democrats,63792,7.16,7,7.954545454545454
6,Party of Alenka Bratušek,45492,5.11,5,5.681818181818182
7,Democratic Party of Pensioners of Slovenia,43889,4.93,5,5.681818181818182
8,Slovenian National Party,37182,4.17,4,4.545454545454546
