,Party,Votes,Votes %,Seats,Seats %
0,Christian Democratic Union,14030751,30.2,185,61.87290969899666
1,Social Democratic Party,11429231,24.6,59,19.732441471571907
2,Alternative for Germany,5317499,11.5,3,1.0033444816053512
3,The Left,3966637,8.6,5,1.6722408026755853
4,Alliance 90/The Greens,3717922,8.0,1,0.33444816053511706
5,Christian Social Union in Bavaria,3255487,7.0,46,15.384615384615385
