,Party,Votes,Votes %,Seats,Seats %
0,Estonian Reform Party,158970,27.7,30,29.7029702970297
1,Estonian Centre Party,142458,24.8,27,26.7326732673267
2,Social Democratic Party,87189,15.2,15,14.8514851485149
3,Pro Patria and Res Publica Union,78699,13.7,14,13.8613861386139
4,Free Party,49882,8.7,8,7.92079207920792
5,Conservative Peoples Party,46772,8.1,7,6.93069306930693
